Agent info:
	Batch size: 64
	Memory length: 50000
	Gamma: 0.99
	Success Margin: -150

Episode: 105/200, rounds: 199, score: -125.3, reward: -0.02174, elapsed time: 0:03:38
Episode: 106/200, rounds: 199, score: -365.5, reward: -0.03397, elapsed time: 0:03:40
Episode: 107/200, rounds: 199, score: -132.0, reward: -0.02966, elapsed time: 0:03:42
Episode: 108/200, rounds: 199, score: -8.375, reward: -0.05123, elapsed time: 0:03:44
Episode: 109/200, rounds: 199, score: -12.27, reward: -0.0488, elapsed time: 0:03:45
Episode: 110/200, rounds: 199, score: -130.2, reward: -0.05975, elapsed time: 0:03:48
Episode: 111/200, rounds: 199, score: -323.7, reward: -0.04005, elapsed time: 0:03:50
Episode: 112/200, rounds: 199, score: -245.7, reward: -0.01358, elapsed time: 0:03:52
Episode: 113/200, rounds: 199, score: -238.2, reward: -0.01283, elapsed time: 0:03:54
Episode: 114/200, rounds: 199, score: -123.0, reward: -0.01515, elapsed time: 0:03:56
Episode: 115/200, rounds: 199, score: -247.6, reward: -0.01035, elapsed time: 0:03:58
Episode: 116/200, rounds: 199, score: -119.2, reward: -0.006393, elapsed time: 0:04:00
Episode: 117/200, rounds: 199, score: -235.1, reward: -0.02996, elapsed time: 0:04:03
Episode: 118/200, rounds: 199, score: -121.6, reward: -0.02537, elapsed time: 0:04:05
Episode: 119/200, rounds: 199, score: -495.3, reward: -0.01318, elapsed time: 0:04:06
Episode: 120/200, rounds: 199, score: -123.9, reward: -0.02331, elapsed time: 0:04:08
Episode: 121/200, rounds: 199, score: -248.2, reward: -0.03467, elapsed time: 0:04:10
Episode: 122/200, rounds: 199, score: -125.9, reward: -0.01815, elapsed time: 0:04:12
Episode: 123/200, rounds: 199, score: -7.101, reward: -0.03196, elapsed time: 0:04:14
Episode: 124/200, rounds: 199, score: -124.5, reward: -0.01372, elapsed time: 0:04:16
Episode: 125/200, rounds: 199, score: -233.7, reward: -0.005719, elapsed time: 0:04:18
Episode: 126/200, rounds: 199, score: -118.8, reward: -0.002482, elapsed time: 0:04:20
Episode: 127/200, rounds: 199, score: -240.6, reward: -0.02945, elapsed time: 0:04:22
Episode: 128/200, rounds: 199, score: -123.2, reward: -0.04036, elapsed time: 0:04:24
Episode: 129/200, rounds: 199, score: -125.6, reward: -0.03536, elapsed time: 0:04:26
Episode: 130/200, rounds: 199, score: -123.6, reward: -0.04416, elapsed time: 0:04:28
Episode: 131/200, rounds: 199, score: -245.5, reward: -0.06447, elapsed time: 0:04:30
Episode: 132/200, rounds: 199, score: -484.9, reward: -8.423, elapsed time: 0:04:32
Episode: 133/200, rounds: 199, score: -253.2, reward: -1.413, elapsed time: 0:04:34
Episode: 134/200, rounds: 199, score: -249.6, reward: -0.1314, elapsed time: 0:04:35
Episode: 135/200, rounds: 199, score: -244.3, reward: -0.01263, elapsed time: 0:04:37
Episode: 136/200, rounds: 199, score: -245.5, reward: -0.004708, elapsed time: 0:04:39
Episode: 137/200, rounds: 199, score: -2.226, reward: -0.008377, elapsed time: 0:04:41
Episode: 138/200, rounds: 199, score: -239.3, reward: -0.005485, elapsed time: 0:04:43
Episode: 139/200, rounds: 199, score: -362.0, reward: -0.006404, elapsed time: 0:04:45
Episode: 140/200, rounds: 199, score: -235.7, reward: -0.001266, elapsed time: 0:04:48
Episode: 141/200, rounds: 199, score: -120.0, reward: -0.01061, elapsed time: 0:04:50
